Pressure,Weight
0.005,0
0.01606,0
0.03838,0
0.07688,0
0.13695,0
0.22441,0.00001
0.3454,0.00002
0.50637,0.00004
0.71402,0.00007
0.97527,0.00014
1.29724,0.00025
1.6872,0.00044
2.15257,0.00076
2.7009,0.00125
3.33981,0.00199
4.07704,0.00308
4.92036,0.00465
5.87762,0.00684
6.95669,0.00987
8.16548,0.01394
9.51189,0.01925
11.00384,0.02602
12.64922,0.03464
14.45594,0.04543
16.43183,0.05874
18.58473,0.07498
20.92241,0.0945
23.45258,0.11762
26.18292,0.14462
29.12101,0.17565
32.27438,0.21074
35.65047,0.2497
39.25663,0.29213
43.10014,0.3374
47.18817,0.38457
51.52779,0.43241
56.12595,0.47938
60.98953,0.52334
66.12526,0.56269
71.53976,0.59643
77.23956,0.62307
83.23102,0.64132
89.52039,0.65021
96.1138,0.64917
103.01724,0.63809
110.23656,0.61735
117.77748,0.58779
125.64556,0.55064
133.84624,0.50749
142.3848,0.46008
151.26637,0.41027
160.49594,0.35985
170.07835,0.31044
180.01828,0.26343
190.32027,0.21989
200.98866,0.18057
212.02771,0.14589
223.44147,0.11599
235.23381,0.09057
247.40851,0.06947
259.96915,0.05255
272.91913,0.03927
286.26172,0.02899
300,0.02115
314.13693,0.01526
328.67529,0.01088
343.61765,0.00767
358.96649,0.00535
374.72409,0.0037
390.89258,0.00253
407.47385,0.00171
424.46979,0.00114
441.88193,0.00076
459.71182,0.0005
477.96072,0.00033
496.62979,0.00021
515.71997,0.00013
535.23218,0.00009
555.16693,0.00005
575.52484,0.00003
596.30615,0.00002
617.51117,0.00001
639.13977,0.00001
661.19196,0.00001
683.6673,0
706.56543,0
729.88574,0
753.6275,0
777.78973,0
802.3714,0
827.37128,0
852.78802,0
878.62012,0
904.86591,0
931.52356,0
958.59113,0
986.06659,0
1013.94763,0
1042.23193,0
1070.91699,0
1100,0